고급휘발유,보통휘발유,경유,실내등유,상표 URL,주유소 이름,세차장,충전소,경정비,편의점,24시영업,주소,상표
1949,1719,1659,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,㈜지에스이앤알 평창주유소,True,False,False,False,False,서울 종로구 평창문화로 135 (평창동),HD현대오일뱅크
2059,1839,1719,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,안풍주유소,True,False,False,False,False,서울 종로구 자하문로 303,S-OIL
2055,1845,1715,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,자하문주유소,True,False,False,False,False,서울 종로구 자하문로 248 (부암동),SK에너지
2070,1850,1720,1600,https://www.opinet.co.kr/images/user/com/icon_soil.gif,구도일주유소특종,True,False,False,False,False,서울 종로구 평창문화로 90 (평창동),S-OIL
2089,1889,1799,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,㈜북악주유소,True,False,False,False,False,서울 종로구 평창문화로 137,GS칼텍스
2575,2375,2195,1800,https://www.opinet.co.kr/images/user/com/icon_gs.gif,(주)대양씨앤씨 사직주유소,False,False,False,False,False,서울 종로구 사직로 65,GS칼텍스
1949,1739,1609,1600,https://www.opinet.co.kr/images/user/com/icon_soil.gif,다산주유소,False,False,False,False,False,서울 중구 다산로 233,S-OIL
False,1795,1665,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,장충드림주유소,True,False,False,False,False,서울 중구 동호로 296,S-OIL
1997,1797,1678,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,약수주유소,True,False,True,False,True,서울 중구 다산로 173,SK에너지
2098,1888,1778,1600,https://www.opinet.co.kr/images/user/com/icon_hy.gif,HD현대오일뱅크㈜직영 장원주유소,False,False,False,False,False,서울 중구 동호로 203 (신당동),HD현대오일뱅크
1999,1944,1884,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,SK에너지(주) 퇴계로주유소,False,False,False,False,False,서울 중구 퇴계로 228 (필동2가),SK에너지
2438,2138,1998,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,장충주유소,True,False,False,False,True,서울 중구 장충단로 202 (장충동1가),SK에너지
2348,2148,1998,1650,https://www.opinet.co.kr/images/user/com/icon_sk.gif,신당동주유소,True,False,False,False,True,서울 중구 다산로 242 (신당동),SK에너지
2789,2539,2409,1809,https://www.opinet.co.kr/images/user/com/icon_gs.gif,필동주유소,False,False,False,False,True,서울 중구 퇴계로 196,GS칼텍스
3156,2756,2632,2179,https://www.opinet.co.kr/images/user/com/icon_sk.gif,서남주유소,True,False,False,False,True,서울 중구 통일로 30,SK에너지
False,1643,1515,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,우림주유소,True,False,False,False,False,서울 중랑구 용마산로 487 (망우제3동),GS칼텍스
1885,1644,1517,1580,https://www.opinet.co.kr/images/user/com/icon_gs.gif,대양주유소,True,False,False,False,False,서울 중랑구 봉우재로 105 (상봉동),GS칼텍스
1889,1645,1517,False,https://www.opinet.co.kr/images/user/com/icon_gs.gif,대원주유소,True,False,False,False,False,서울 중랑구 동일로 600,GS칼텍스
1889,1645,1517,False,https://www.opinet.co.kr/images/user/com/icon_hy.gif,(주)자연에너지 대창주유소,False,False,False,False,False,서울 중랑구 동일로 636 (면목동),HD현대오일뱅크
False,1645,1517,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,구도일주유소 동천,True,False,False,False,False,서울 중랑구 동일로 654 (면목동),S-OIL
False,1645,1517,False,https://www.opinet.co.kr/images/user/com/icon_sk.gif,면목SELF주유소,True,False,True,False,False,서울 중랑구 동일로 627 (면목동),SK에너지
False,1657,1527,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,오천만주유소,True,False,False,False,False,서울 중랑구 동일로 547 (면목동),S-OIL
1877,1687,1567,False,https://www.opinet.co.kr/images/user/com/icon_soil.gif,(주)태영 구도일주유소 한인,True,False,True,False,False,서울 중랑구 망우로 170,S-OIL
False,1729,1569,1600,https://www.opinet.co.kr/images/user/com/icon_soil.gif,범아주유소,True,False,True,False,False,서울 중랑구 동일로 881,S-OIL
False,1739,1598,1500,https://www.opinet.co.kr/images/user/com/icon_sk.gif,신내주유소,True,False,False,False,False,서울 중랑구 용마산로 705 (신내동),SK에너지
False,1758,1658,1600,https://www.opinet.co.kr/images/user/com/icon_sk.gif,용마로주유소,True,False,False,False,False,서울 중랑구 용마산로 309 (면목동),SK에너지
False,1798,1698,1590,https://www.opinet.co.kr/images/user/com/icon_sk.gif,신일셀프주유소,True,False,True,False,True,서울 중랑구 상봉로 58 (망우동),SK에너지
