기업이름,진행중 채용공고,업력,기업형태,사원수,매출액,평균연봉,최저연봉,최고연봉
(주)케이피씨전자,False,업력 15년차,중소기업,5 명,"8억 2,921만원","4,224 만원","2,952만원","5,632만원"
(주)알오지스틱스,False,업력 3년차,중소기업,6 명,748만원,"4,591 만원","2,839만원","6,307만원"
(주)따따스튜디오,False,업력 12년차,중소기업,8 명,"3억 7,333만원","3,023 만원","2,442만원","4,991만원"
(주)새비로보틱스,False,업력 4년차,중소기업,3 명,False,"7,101 만원","3,927만원","7,682만원"
(주)유에이로보틱스,False,업력 5년차,중소기업,13 명,"4억 4,663만원","8,256 만원","3,994만원","9,288만원"
(주)아이오테드,False,업력 7년차,중소기업,11 명,"4억 9,440만원","5,027 만원","2,962만원","6,750만원"
(사)우리,False,업력 9년차,중소기업,3 명,"1억 5,744만원","4,207 만원","2,782만원","5,413만원"
(주)지엔디비즈,False,업력 14년차,중소기업,3 명,"11억 7,550만원",False,False,False
(주)디자인리퍼블릭,False,업력 13년차,중소기업,4 명,"4억 5,991만원","3,988 만원","2,722만원","5,604만원"
(주)나란,False,업력 17년차,스타트업,3 명,"6억 6,030만원","3,943 만원","2,592만원","6,109만원"
(주)라파비,False,업력 2년차,중소기업,0 명,4만원,False,False,False
(주)로보트론,False,업력 19년차,중소기업,3 명,"9억 2,942만원","3,598 만원","2,516만원","5,278만원"
(주)넷솔루션,False,업력 10년차,중소기업,False,2억 569만원,False,False,False
(주)주원테크놀러지,False,업력 11년차,중소기업,11 명,False,"7,792 만원","4,223만원","8,412만원"
(주)이드엠,False,업력 21년차,스타트업,8 명,"8억 1,651만원","4,612 만원","3,002만원","5,690만원"
(주)테스프,False,업력 3년차,중소기업,10 명,"1억 2,047만원","3,119 만원","2,447만원","4,696만원"
(주)지능로봇스튜디오,False,False,중소기업,4 명,"7억 3,569만원","4,233 만원","2,792만원","5,633만원"
(주)디웹스,False,업력 10년차,중소기업,3 명,"2억 8,038만원","3,762 만원","2,530만원","5,514만원"
(주)플롯팩토리,False,업력 4년차,중소기업,7 명,"6억 3,522만원","3,285 만원","2,543만원","5,373만원"
(주)에이아이에스,False,업력 9년차,중소기업,8 명,False,"5,467 만원","3,148만원","6,770만원"
(주)차로보틱스,False,업력 3년차,중소기업,5 명,"1억 9,141만원","3,446 만원","2,468만원","5,200만원"
(주)아디아랩,False,업력 7년차,중소기업,6 명,False,"4,135 만원","2,773만원","6,128만원"
마린로보틱스(주),False,업력 14년차,중소기업,8 명,"4억 5,250만원","2,384 만원","1,978만원","4,651만원"
(주)로보틱박스,False,업력 5년차,중소기업,9 명,"1억 7,674만원",False,False,False
(주)아이피엠로보틱스,False,업력 2년차,중소기업,7 명,False,False,False,False
하이젠파워(주),False,업력 7년차,중소기업,0 명,False,False,False,False
(주)로보슨,False,업력 3년차,중소기업,8 명,"1억 6,987만원","6,579 만원","3,916만원","7,181만원"
(주)다원메카트로닉스,False,업력 2년차,중소기업,5 명,False,False,False,False
(주)제이지파워넷,False,업력 8년차,중소기업,5 명,"8억 6,434만원","3,876 만원","2,694만원","6,032만원"
(주)무브투,False,업력 5년차,중소기업,8 명,"5억 6,916만원",False,False,False
(주)절벽의오른쪽,False,업력 8년차,중소기업,3 명,"2,678만원","2,749 만원","2,009만원","5,530만원"
인공지능과사람들(주),False,업력 9년차,중소기업,0 명,False,False,False,False
신라정보기술(주),False,False,중소기업,6 명,10억 196만원,"4,241 만원","2,940만원","5,918만원"
(주)르호봇알브이엠,False,업력 3년차,중소기업,4 명,False,"3,678 만원","2,648만원","5,325만원"
(주)우술,False,업력 2년차,중소기업,5 명,False,"3,141 만원","2,384만원","4,861만원"
(주)라이트테크,False,False,중소기업,3 명,"4억 9,306만원","8,947 만원","4,730만원","9,784만원"
(주)한아시스템,False,False,중소기업,False,"1억 9,099만원",False,False,False
(주)에이티엠솔루션,False,업력 12년차,중소기업,8 명,"6억 4,900만원","3,457 만원","2,563만원","5,769만원"
(주)도안앤텍,False,업력 8년차,중소기업,3 명,"4억 9,313만원","2,481 만원","1,917만원","4,877만원"
(주)내비오닉스코리아,False,업력 15년차,중소기업,False,False,False,False,False
(주)포어사이트,False,False,중소기업,3 명,2억 952만원,"5,093 만원","2,980만원","6,637만원"
넥스젠,False,False,중소기업,False,6억 145만원,False,False,False
쉐프로봇테크,False,False,중소기업,False,False,False,False,False
