Season,Episode,Name,Rating,Story,Director,Writers,Stars
4,15,The Benefactor Factor,7.7,"To secure needed funding for the university, Sheldon convinces Leonard to get friendly with a wealthy benefactor.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,16,The Cohabitation Formulation,7.8,"Bernadette makes Howard choose between herself and his mother, while Penny and Raj become upset when Priya returns to town and resumes her relationship with Leonard.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,17,The Toast Derivation,7.9,Sheldon becomes concerned when everybody begins to hang out at Raj's apartment and discovers Leonard is the center of the group.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,18,The Prestidigitation Approximation,8.1,Priya forces Leonard to choose between a relationship with her or a friendship with Penny. A magic trick by Howard has Sheldon fooled.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,19,The Zarnecki Incursion,8.0,"The guys go all out to help Sheldon find the person responsible for hacking his online gaming account, while the girls' hatred for Priya increases.",Peter Chakos,"Chuck Lorre, Bill Prady, David Goetsch","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,20,The Herb Garden Germination,8.2,Sheldon and Amy secretly experiment on the gang by spreading rumors when they hear that Bernadette is thinking about breaking up with Howard.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,21,The Agreement Dissection,8.2,"When Priya finds a loophole in the roommate agreement to throw Sheldon out for the night, Penny, Amy and Bernadette take him to a nightclub.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,22,The Wildebeest Implementation,7.7,"Sheldon invents a three-player chess game, Penny and Amy use Bernadette to spy on Leonard and Priya, and Raj tries a new drug to treat his social anxiety.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eddie Gorodetsky","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,23,The Engagement Reaction,8.0,"Howard believes that his mom suffered a heart attack because he told her that he's marrying Bernadette, Sheldon freaks out over germs, and Penny and Priya compare notes on Leonard.",Howard Murray,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
4,24,The Roommate Transmogrification,8.5,Raj moves in with Sheldon after hearing Leonard and Priya engage in a Star Trek fantasy in his apartment. Bernadette receives her doctorate.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,1,The Skank Reflex Analysis,8.0,The gang deal with the fallout from Penny and Raj's night together.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,2,The Infestation Hypothesis,8.0,Amy gets inadvertently caught in the middle of a fight between Sheldon and Penny over a chair. Leonard tries to add some spice to his long-distance relationship with Priya.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Jim Reynolds","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,3,The Pulled Groin Extrapolation,7.6,Leonard accompanies Amy to a colleague's wedding. Howard tries to convince Bernadette to live with his mother after they get married.,Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,4,The Wiggly Finger Catalyst,7.8,"Penny sets up Raj with a deaf friend, not knowing that she's actually a gold digger, and Sheldon decides to let his minor decisions rest on the roll of the dice.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,5,The Russian Rocket Reaction,8.0,"Sheldon takes offense when Leonard wants to attend a party with Wil Wheaton, while Bernadette tries to block Howard's opportunity to go into outer space.",Mark Cendrowski,"Chuck Lorre, Bill Prady, Eric Kaplan","Johnny Galecki, Jim Parsons, Kaley Cuoco"
5,6,The Rhinitis Revelation,7.5,Sheldon gets upset when his mother comes to visit but refuses to cook for him and attend physics lectures.,Howard Murray,"Chuck Lorre, Bill Prady, Steven Molaro","Johnny Galecki, Jim Parsons, Kaley Cuoco"
